source_aits_name,sentence,L1
1_Department_of_Agriculture_Fisheries_and_Forestry,DAFF acknowledges that the AI Transparency Statement will be updated and published: At least once a year.,Update
1_Department_of_Agriculture_Fisheries_and_Forestry,When making a significant change to our approach to AI.,Update
1_Department_of_Agriculture_Fisheries_and_Forestry,When any new factor materially impacts the existing statement’s accuracy.,Update
1_Department_of_Agriculture_Fisheries_and_Forestry,This Transparency Statement was modified on 25 July 2025.,Update
1_Department_of_Agriculture_Fisheries_and_Forestry,"For any enquiries relating to DAFF’s use of AI or the information provided within this Transparency Statement, contact ai@aff.gov.au .",Contact
21_Department_of_Education,"The department uses Artificial Intelligence (AI) in a responsible and transparent way that upholds citizens’ personal privacy and rights and assesses the value of AI uses in an ethical and transparent manner, while keeping people at the centre of how we work.",Compliance with AI regulations and policies
21_Department_of_Education,We aim to use AI within the department in ways that improve operational efficiency and assist the department in meeting its mission to ensure access to quality education for all Australians.,Intention of AI
21_Department_of_Education,"Currently, the primary use of AI within the department is through the Microsoft Copilot tool that is available in Microsoft digital products.",AI usage patterns
21_Department_of_Education,Key examples of what this means in practice are:Productivity and Enabling: Sorting high volumes of stakeholder communication.,AI usage patterns
21_Department_of_Education,Improving search and sorting processes related to file management.,AI usage domains
21_Department_of_Education,Information Analytics and Insight: Assisting helpdesks roles to sort through large amounts of case information.,AI usage domains
21_Department_of_Education,Organising large volumes of held information related to educational institutions.,AI usage patterns
21_Department_of_Education,Policy and Legal: Using AI to review information around policies relevant to the department's core focuses.,AI usage domains
21_Department_of_Education,Using AI to assist with legal review where large amounts of case materials exist.,AI usage domains
21_Department_of_Education,We are focused on establishing an AI governance regime that ensures AI serves our strategic objectives and those of the government.,Intention of AI
21_Department_of_Education,We have appointed accountable officials for AI and we are establishing appropriate review structures for new uses of AI.,Monitoring measures
21_Department_of_Education,These will monitor use cases to ensure ethical uses of AI and alignment of AI and data governance to ensure that the way collected data is used by AI tools does not differ from stated collection purposes.,Monitoring measures
21_Department_of_Education,"The department also maintains clear communication with its IT partner provider, the Department of Employment and Workplace Relations (DEWR) to ensure that AI governance and approaches are aligned.",Contact
21_Department_of_Education,The use of AI in the department is periodically re-examined and reviewed in the Department’s Audit and Risk committee.,Monitoring measures
21_Department_of_Education,"In extraordinary circumstances or if there are rapidly emerging risks around AI deployment, committee members can require out-of-session reviews or an extraordinary session of the committee to deal with these risks.",Monitoring measures
21_Department_of_Education,"In addition to monitoring developing AI risks, the Audit and Risk committee and the department’s Digital Services team will ensure that the use of AI within the department is effective, measurable and sustained and complies with all relevant government cybersecurity standards.",Compliance with AI regulations and policies
21_Department_of_Education,"The department is also developing an AI use case register, as recommended by the Commonwealth Policy for the Responsible use of AI .",Compliance with AI regulations and policies
21_Department_of_Education,The department has appointed two Accountable Officers for the use of AI.,Compliance with AI regulations and policies
21_Department_of_Education,"They are: Kerryn Kovacevic, Chief Information Officer.",Contact
21_Department_of_Education,"Hamish McDonald, First Assistant Secretary, Strategy, Data and Measurement.",Contact
21_Department_of_Education,"The department will periodically review other measures, including these governance arrangements and this transparency statement, to ensure that the department remains compliant with all requirements for the Policy for responsible use of AI in government.",Compliance with AI regulations and policies
21_Department_of_Education,"The department currently does not allow AI for fully automated output processes, interaction with the public or in conjunction with other automated decision making (ADM) programs.",Compliance with AI regulations and policies
21_Department_of_Education,This means that AI outputs will be reviewed by a staff member with the experience to know if outputs are appropriate (i.e.,Monitoring measures
21_Department_of_Education,"human-in-the-loop), the public will not interact with a chatbot or similar agent when contacting us, and automated decision making will not be combined with ADM programs which are already understood as potentially higher risk to the public due to large scale or high volume of output.",Impact to the public
21_Department_of_Education,"While enabling the use of AI as part of a general strategy to promote innovation in ways of working, the department acts in line with all relevant pieces of legislation and regulation that govern the information that it manages and appropriate uses of that information.",Compliance with AI regulations and policies
21_Department_of_Education,This includes: the Privacy Act (1988).,Compliance with AI regulations and policies
21_Department_of_Education,"Public Governance, Performance and Accountability Act (2013).",Compliance with AI regulations and policies
21_Department_of_Education,Australian Public Service Code of Conduct.,Compliance with AI regulations and policies
103_Department_of_the_Senate,Policy for responsible use of AI in government.,Compliance with AI regulations and policies
21_Department_of_Education,This transparency statement will be annually reviewed and re-released with relevant updates.,Update
21_Department_of_Education,"For inquiries regarding the department’s use of AI, please contact digitalservices@education.gov.au .This statement was last updated 30/09/2025.",Contact
22_Australian_Research_Council,The Policy for the responsible use of AI in government requires all non-corporate Commonwealth entities to make a publicly available statement outlining their approach to AI adoption and use as directed by the Digital Transformation Agency (DTA).,Compliance with AI regulations and policies
22_Australian_Research_Council,"The ARC is a non-corporate Commonwealth entity, as defined by the Public Governance, Performance and Accountability Act 2013(PGPA ACT), and therefore must comply with all requirements outlined in the Policy for the responsible use of AI in government.",Compliance with AI regulations and policies
22_Australian_Research_Council,"The ARC is committed to ensuring that the internal use of Artificial Intelligence (AI) is appropriate, responsible and ethical.",Compliance with AI regulations and policies
22_Australian_Research_Council,"The ARC embraces the opportunity for all its personnel to use AI as a complementary tool for internal purposes, however the appropriate, responsible and ethical use of AI will always be the highest priority.",Intention of AI
22_Australian_Research_Council,"The ARC complies with the Policy for the responsible use of AI in government, and other relevant guidance regarding government standards of AI use.",Compliance with AI regulations and policies
22_Australian_Research_Council,"To ensure the appropriate, responsible and ethical application of AI used internally within the agency, the ARC’s approach is to: Implement an internal AI policy for all personnel to follow.",Compliance with AI regulations and policies
22_Australian_Research_Council,This policy will be reviewed annually (at a minimum) to ensure the ARC continues to align with best practice and government standards and keep pace with developments in AI technology.,Update
22_Australian_Research_Council,"Continue to provide mandatory, and develop further, training on AI to all personnel.",Monitoring measures
22_Australian_Research_Council,"Maintain a register of AI use within the ARC to monitor and record the internal use of AI within the agency.Manage any potential and realised risks appropriately through the ARC’s Risk Management Framework, including reporting to the ARC Audit and Risk Committee.",Monitoring measures
22_Australian_Research_Council,"The ARC’s current use of AI within the agency is in its early stages, with few applications of AI currently being piloted within some business areas.",AI usage patterns
22_Australian_Research_Council,"Table 1 outlines the current and potential internal applications of AI, as per the DTA’s Classification system for AI use.",AI usage domains
22_Australian_Research_Council,Table 1: Current and potential applications of AI used internally within the ARC (as of 28 February 2025).,AI usage domains
101_Department_of_Parliamentary_Services,Analytics for insights.,AI usage patterns
22_Australian_Research_Council,"Identifies, produces or understands insights within structured or unstructured materials via comprehensive data analysis, predictive modelling and/or reporting tools.",AI usage patterns
101_Department_of_Parliamentary_Services,Corporate and Enabling.,EMPTY
22_Australian_Research_Council,"The use of advanced AI techniques are planned for development to inform policy development and where required, provide insights to the ARC’s stakeholders.",Intention of AI
22_Australian_Research_Council,"Any internally developed models or the use of external models will have appropriate evaluation methods applied, and the results will be verified by domain experts.",Monitoring measures
22_Australian_Research_Council,This rigour will ensure that the results are fit for purpose and responsibly used.,Monitoring measures
101_Department_of_Parliamentary_Services,Workplace productivity.,AI usage domains
22_Australian_Research_Council,"Automate routine tasks, manage workflows, and facilitate communication.",AI usage patterns
101_Department_of_Parliamentary_Services,Corporate and Enabling.,EMPTY
22_Australian_Research_Council,The ARC is trialling the use of Microsoft CoPilot 365 to automate and assist with administrative tasks.,AI usage patterns
22_Australian_Research_Council,"For example, composing an initial draft of minutes and action items, with human review.",AI usage patterns
101_Department_of_Parliamentary_Services,Decision making and administrative action.,AI usage domains
22_Australian_Research_Council,"Support decision making or the taking of administrative action by guiding, assessing or making a recommendation to a human decision maker and/or make decisions or take administrative action without human intervention.",AI usage patterns
22_Australian_Research_Council,Policy and Legal[1].,EMPTY
22_Australian_Research_Council,The use of AI to inform decision making and administrative action is not currently applied within the ARC.,AI usage patterns
22_Australian_Research_Council,[1] As per the DTA’s Classification system for AI use.,Compliance with AI regulations and policies
22_Australian_Research_Council,"Bobby Almasi, Chief Information Officer Australian Research Council Phone: 02 6206 7226 cio@arc.gov.au This AI transparency statement was first published in April 2025.",Contact
22_Australian_Research_Council,"This statement will be reviewed annually, or when significant change is made to the ARC’s approach to AI.",Update
23_Tertiary_Education_Quality_and_Standards_Agency,TEQSA acknowledges the Digital Transformation Agency’s Policy for the responsible use of Artificial Intelligence (AI) in government that sets the approach for the use of AI by government.,Compliance with AI regulations and policies
23_Tertiary_Education_Quality_and_Standards_Agency,"TEQSA participated in a short Microsoft Copilot trial in 2024, which has now concluded.",Update
23_Tertiary_Education_Quality_and_Standards_Agency,TEQSA uses MS productivity tools’ limited AI capabilities but has not authorised the use of AI in service delivery including our regulatory function or decision-making processes.,AI usage patterns
23_Tertiary_Education_Quality_and_Standards_Agency,All TEQSA staff will be required to undertake the DTA’s AI fundamentals training modules to raise awareness and develop basic understanding of AI.,Monitoring measures
23_Tertiary_Education_Quality_and_Standards_Agency,The Chief Information Officer is designated as the accountable official for TEQSA.,Contact
23_Tertiary_Education_Quality_and_Standards_Agency,An AI Steering Committee will be established to develop an overarching agency approach to AI and assess the opportunities and risks in using AI within the agency.,Monitoring measures
23_Tertiary_Education_Quality_and_Standards_Agency,This AI transparency statement was first published in March 2025.,Update
23_Tertiary_Education_Quality_and_Standards_Agency,"This statement will be reviewed annually, or when significant change is made to our approach to AI.",Update
23_Tertiary_Education_Quality_and_Standards_Agency,"If you have any enquiries about this statement, we can be reached via the details on the contact us page of this website.",Contact
24_Department_of_Employment_and_Workplace_Relations,"The Department of Employment and Workplace Relations is engaging with artificial intelligence (AI) in a way that prioritises human rights, the protection of personal information, and respecting Indigenous data, while keeping humans at the centre of our decision-making.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,"Our intent is to leverage AI to drive innovation, improve operational efficiency, and support the broader goal of enabling people to have safe, secure, and well-paid work with the skills for a sustainable future.",Intention of AI
24_Department_of_Employment_and_Workplace_Relations,"We are committed to ensuring that AI enhances the effectiveness and quality of our services while maintaining the highest standards of ethics, safety, lawfulness, and public trust.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,"DEWR use of AI is transparent, responsible, and aligned with legislative and regulatory requirements, including the Policy for the Responsible Use of AI in Government and the Voluntary AI Safety Standard.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,"As defined in the Policy for Responsible Use of AI in Government, an AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",Definition of AI
15_Clean_Energy_Regulator,Different AI systems vary in their levels of autonomy and adaptiveness after deployment.,Definition of AI
24_Department_of_Employment_and_Workplace_Relations,"Automated systems are different, and range from: traditional rules-based systems (for example a system which calculates a rate of payment in accordance with a formula set out in legislation) .",Definition of AI
24_Department_of_Employment_and_Workplace_Relations,"to more specialised systems which use automated tools to predict and deliberate, including through the use of machine learning.",Definition of AI
24_Department_of_Employment_and_Workplace_Relations,"DEWR’s AI initiatives are overseen by the AI Accountable Officer, who also serves as the department’s Chief Data Officer.",Monitoring measures
24_Department_of_Employment_and_Workplace_Relations,"This role ensures robust monitoring and evaluation of AI systems to maintain effectiveness, fairness, and compliance with government policies and the law.",Monitoring measures
24_Department_of_Employment_and_Workplace_Relations,"DEWR is committed to adapting AI systems as needed to align with evolving legislation, ethical standards, and public expectations.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,"To support these efforts, DEWR has established a robust governance framework to ensure the ethical, transparent, and secure use of AI.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,"Key elements include: AI Governance: The department’s AI Adoption Committee oversees all AI initiatives, ensuring they align with DEWR’s strategic objectives and government standards.",Monitoring measures
24_Department_of_Employment_and_Workplace_Relations,"Ethical Principles: AI development and deployment adhere to DEWR’s Ethics Framework and whole-of-government AI guidelines, embedding considerations like privacy, safety, lawfulness and fairness from the outset.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,Human Oversight: Human-in-the-loop (HITL) mechanisms are embedded at critical stages to ensure accountability and accuracy in AI outputs.,Monitoring measures
24_Department_of_Employment_and_Workplace_Relations,"Cybersecurity Standards: DEWR is committed to applying the cybersecurity requirements outlined in the Australian Government Information Security Manual (ISM) and the Protective Security Policy Framework (PSPF), using a risk-based approach, to ensure the secure operation of all AI applications.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,DEWR uses AI to enhance workplace productivity and support corporate and enabling functions.,AI usage domains
24_Department_of_Employment_and_Workplace_Relations,These applications focus on streamlining internal processes and automating routine tasks.,AI usage patterns
24_Department_of_Employment_and_Workplace_Relations,"As part of its commitment to responsible AI use, DEWR is participating in the Pilot Australian Government AI Assurance Framework to explore how AI can further optimise internal operations while adhering to ethical and governance standards.",Compliance with AI regulations and policies
24_Department_of_Employment_and_Workplace_Relations,DEWR employs AI in the following way: Workplace Productivity: Use tools like automated document summarisation and virtual assistants to streamline workflows and improve efficiency.,AI usage domains
24_Department_of_Employment_and_Workplace_Relations,"Analytics for Insights: Used to identify, produce or understand insights within structured or unstructured materials via comprehensive data analysis.",AI usage patterns
24_Department_of_Employment_and_Workplace_Relations,DEWR does not currently use AI in service delivery or in how we administer programs delivered to the Australian public.,AI usage domains
24_Department_of_Employment_and_Workplace_Relations,"Specifically, AI is not used in compliance, auditing, or decision-making processes.",AI usage domains
24_Department_of_Employment_and_Workplace_Relations,"Our AI applications focus on supporting corporate functions, including HR, finance, media and communications, and IT, by automating processes, optimising resource allocation and improving operational efficiency.",AI usage domains
24_Department_of_Employment_and_Workplace_Relations,DEWR safeguards against risks and ensures responsible AI use through releasing an annual AI Transparency Statement to provide visibility on how AI is used and managed.,Monitoring measures
24_Department_of_Employment_and_Workplace_Relations,"For inquiries or feedback regarding DEWR’s use of AI, please contact us at data @dewr.gov.au .",Contact
24_Department_of_Employment_and_Workplace_Relations,This AI Transparency Statement was last updated on 28 February 2025.,Update
11_Office_of_the_Inspector_General_of_Intelligence_and_Security,It will be reviewed and updated annually or when significant changes occur.,Update
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,This page provides details of ASSEA’s implementation of the Policy for the responsible use of AI in government.,Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"In accordance with the Digital Transformation Agency’s (DTA) Policy for responsible use of AI in government , the following information provides the Asbestos and Silica Safety and Eradication Agency's' statement on AI transparency.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"This statement has been prepared with regard to the Organisation for Economic Co-operation and Development (OECD) definition of AI : An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",Definition of AI
15_Clean_Energy_Regulator,Different AI systems vary in their levels of autonomy and adaptiveness after deployment.,Definition of AI
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"The agency is currently exploring the possible ways of using AI appropriately for the following use cases and managing the risks they may impose, including the prioritisation of human rights, privacy and indigenous data sovereignty.",AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,Primarily AI usage will align to ASSEA’s mandated functions as articulated in the Asbestos and Silica Safety and Eradication Act 2013 and ASSEA’s annual operational plan.,Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"We see the potential benefits in using AI to improve research and scientific outputs of the agency through: generating and debugging code used in data analysis, management, and creation of synthetic data for testing and validations.",AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,dashboard and report generation.,AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,We see potential benefits in using AI to improve workplace productivity for the agency.,Intention of AI
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"Those benefits include, but are not limited to: managing and responding to general queries.",AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,document search and retrieval.,AI usage domains
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,insight generation.,AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,idea generation.,AI usage patterns
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"summarisation of emails, documents, and other correspondence.",AI usage domains
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,task management.,EMPTY
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,collation enhancement.,EMPTY
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,formatting assistance.,EMPTY
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,ASSEA does not propose to use AI where the public may directly interact with or be significantly impacted by it.,Impact to the public
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"Furthermore, the agency maintains a commitment to ensure that any external provider service is aware of their responsibilities with ethical AI use, including not using customer data for the training of AI models or software, and this will be incorporated into our request processes.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,The Executive and leadership teams have identified the associated risks of emerging AI technologies and their use in the workplace.,Monitoring measures
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,Governance policies are proactively being developed to assess the unique potential use cases for AI in the duties of the Agency.,Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"As part of the governance of AI use in the agency, a responsible AI usage policy will be developed to ensure alignment with the resources provided by the Digital Transformation Agency.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"Training on the ethical and responsible usage of AI will be mandatory for all staff, before the usage of any AI tools within the agency.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"Staff will be required to undergo refresher training on a regular basis as this technology, and its use within Government, advances.",Update
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"Use of AI by the agency will be in accordance with all relevant legislation, associated regulations, and Government frameworks.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,Any future use of AI by the agency be conducted with respect to all the mandatory requirements of the Policy for the responsible use of AI in government .,Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,The Chief Data Officer​ was designated as the accountable official on 1 September 2024.,Contact
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"As the accountable official, the Chief Data Officer is responsible for ensuring the compliance of AI use in accordance with internal and external policies, and relevant regulations and legislation within the agency.",Compliance with AI regulations and policies
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,At a minimum the agency will review annually the need to audit and/or review how AI has been used to ensure alignment with intentions and compliance requirements.,Monitoring measures
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,The AI transparency statement was first published to our website on 28 February 2025.,Update
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"This statement will be reviewed annually, and updated if there are changes to the use of AI within the agency.",Update
25_Asbestos_and_Silica_Safety_and_Eradication_Agency,"For questions about this statement or for further information on the agency's usage of AI, please contact enquiries@asbestossafety.gov.au",Contact
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"The Australian Skills Quality Authority (ASQA) is committed to ensuring that Artificial Intelligence (AI) enhances the effectiveness and quality of our services while maintaining the highest standards of ethics, safety and public trust.",Intention of AI
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),Our intent is to leverage AI technologies to: support our broader goal of working together for better regulation.,Intention of AI
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),support our ongoing transformation of digital and data systems and capabilities.,General introduction
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),drive innovation and improved operational efficiency.,Intention of AI
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"ASQA is engaging with AI in a way that is responsible and prioritises human rights, the protection of personal and sensitive data, and keeps humans at the centre of decision making.",Compliance with AI regulations and policies
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"We commit to the responsible use of AI, adhering to ethical and governance standards and policy directives, and ensuring our approach is transparent as we work to leverage opportunities in AI technologies.",Compliance with AI regulations and policies
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"ASQA's AI initiatives are overseen by the AI Accountable Official, who also serves as ASQAs Chief Security Officer and Privacy Champion.",Monitoring measures
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"ASQA is establishing governance arrangements to ensure AI use is appropriately and ethically managed, governed, monitored and benefits are realised, including compliance with each requirement under the Policy for the responsible use of AI in government and the Protective Security Policy Framework .",Compliance with AI regulations and policies
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),ASQA will employ AI in the follow ways: Workplace productivity: use of tools such as automatic document summarisation and virtual assistants to streamline workflows and improve efficiency.,AI usage domains
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"Analytics for insights: use of tools to identify, produce or understand insights within structured or unstructured materials via comprehensive data analysis.",AI usage patterns
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"ASQA does not currently employ AI capability in service delivery, including our regulatory functions or decision-making processes.",AI usage patterns
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"While AI may be used to assist in, for example, automating routine tasks and to streamline internal processes, any final decisions or actions are made by a human.",AI usage patterns
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"This ensures that there is always a human directly involved (Human in the Loop, or HITL) to review and validate any outcome/s generated by AI systems, in order to maintain accountability and accuracy.",Monitoring measures
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"In coming years, ASQA plans to leverage AI technologies as part of its ongoing transformation of digital and data systems and capabilities.",Intention of AI
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"ASQA's current AI focus is on workplace productivity, including tools to improve, automate and streamline routine tasks and to support data and analytical insights.",AI usage domains
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),ASQA safeguards against risks and ensures responsible use of AI through releasing at least an annual AI Transparency Statement – to provide visibility on how AI is used and managed.,Monitoring measures
26_Australian_Skills_Quality_Authority_(National_Vocational_Education_and_Training_Regulator),"For enquiries or feedback regarding ASQA's use of AI, please contact us at digitaltransformation@asqa.gov.au",Contact
24_Department_of_Employment_and_Workplace_Relations,This AI Transparency Statement was last updated on 28 February 2025.,Update
11_Office_of_the_Inspector_General_of_Intelligence_and_Security,It will be reviewed and updated annually or when significant changes occur.,Update
27_Fair_Work_Commission,The Digital Transformation Agency's (DTA) Policy for the responsible use of AI in government ( DTA Policy ) sets out the Australian Government approach to embrace the opportunities of artificial intelligence ( AI ) and provide for safe and responsible use of AI.,Compliance with AI regulations and policies
27_Fair_Work_Commission,"We recognise that AI presents unique opportunities to innovate the way we work, but that this must be consistent with our role and responsibilities as a tribunal and an Australian Public Service entity.",Intention of AI
27_Fair_Work_Commission,"We are committed to identifying ethical, responsible and meaningful use when considering the adoption of AI capabilities.",Intention of AI
27_Fair_Work_Commission,"We will be transparent as we explore, adopt and integrate AI technology to benefit staff and external stakeholders.",Intention of AI
27_Fair_Work_Commission,"Consistent with the DTA Policy, we use the Organisation for Economic Co-operation and Development’s definition of AI: ‘An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",Definition of AI
27_Fair_Work_Commission,Different AI systems vary in their levels of autonomy and adaptiveness after deployment.’,AI usage patterns
27_Fair_Work_Commission,The Commission will not use generative AI to make decisions under the Fair Work Act 2009 or Fair Work Registered Organisations Act 2009.,AI usage patterns
27_Fair_Work_Commission,The power to make such decisions can only be exercised by an appropriate human office holder.,Compliance with AI regulations and policies
27_Fair_Work_Commission,"Usage Patterns and Domains We are exploring the use of AI for analytics, insights and for workplace productivity purposes.",AI usage domains
27_Fair_Work_Commission,We will use AI to support improved and efficient service delivery and our internal corporate activities.,AI usage domains
27_Fair_Work_Commission,"This may include: helping answer questions from staff regarding workplace policies and entitlements improving accessibility to help all staff use platforms, applications and services summarising documents, emails and other content performing transcription of interviews and meeting notes redacting information before providing to third parties creation or assistance with the generation of creative content Non-generative AI is a component of our Document search tool, which allows users to search our decisions, agreements and awards and other case material.",AI usage patterns
27_Fair_Work_Commission,You can find further information about usage patterns and domains on the Australian Government's Artificial intelligence in government webpage .,Contact
27_Fair_Work_Commission,"We are exploring the use of AI for analytics, insights and for workplace productivity purposes.",AI usage domains
27_Fair_Work_Commission,We will use AI to support improved and efficient service delivery and our internal corporate activities.,Intention of AI
27_Fair_Work_Commission,This may include: helping answer questions from staff regarding workplace policies and entitlements.,AI usage domains
27_Fair_Work_Commission,"improving accessibility to help all staff use platforms, applications and services.",Impact to the public
27_Fair_Work_Commission,"summarising documents, emails and other content.",AI usage patterns
27_Fair_Work_Commission,performing transcription of interviews and meeting notes.,AI usage patterns
27_Fair_Work_Commission,redacting information before providing to third parties.,Compliance with AI regulations and policies
27_Fair_Work_Commission,creation or assistance with the generation of creative content.,AI usage patterns
27_Fair_Work_Commission,"Non-generative AI is a component of our Document search tool, which allows users to search our decisions, agreements and awards and other case material.",AI usage domains
27_Fair_Work_Commission,You can find further information about usage patterns and domains on the Australian Government's Artificial intelligence in government webpage .,Contact
27_Fair_Work_Commission,"We do not currently use generative AI in a way that the public could interact with it, or be significantly impacted by it, without a human intermediary or intervention.",Impact to the public
27_Fair_Work_Commission,"To enhance our service delivery in future, we may develop generative AI tools that the public can interact with.",Update
27_Fair_Work_Commission,We will update this statement as required.,Update
27_Fair_Work_Commission,We have established an internal Artificial Intelligence Assessment Committee (AIAC) to provide oversight of our use of AI to ensure it meets government requirements and satisfies public expectations.,Compliance with AI regulations and policies
27_Fair_Work_Commission,We have appointed the chair of that committee as the official with accountability for implementing the DTA Policy.,Compliance with AI regulations and policies
27_Fair_Work_Commission,"Our Use of Artificial Intelligence Tools Policy sets guidelines for when AI may be used and how to use it, including identifying user risks.",Compliance with AI regulations and policies
27_Fair_Work_Commission,"The AIAC approves projects involving AI, considering ethical and privacy issues, monitors the use of AI tools post-implementation, and oversees the maintenance of our register of approved AI tools.",Monitoring measures
27_Fair_Work_Commission,We require all staff to complete AI fundamentals training developed by the DTA.,Compliance with AI regulations and policies
27_Fair_Work_Commission,"For enquiries, please contact us at artificialintelligence@fwc.gov.au .",Contact
27_Fair_Work_Commission,The Executive Director of Enabling Services is designated as the accountable official for our use of AI.,Compliance with AI regulations and policies
27_Fair_Work_Commission,"This statement was first published in February 2025, and will be reviewed at least annually, or when we make a significant change to our approach to AI as outlined above.",Update
14_Department_of_Climate_Change_Energy_the_Environment_and_Water,Last updated: 28 February 2025,Update
28_Safe_Work_Australia,"In accordance with the Digital Transformation Agency’s (DTA) Policy for responsible use of AI in government, this page presents Safe Work Australia’s statement on AI Transparency.",Compliance with AI regulations and policies
28_Safe_Work_Australia,Safe Work Australia is developing its maturity and potential use cases for AI.,AI usage patterns
28_Safe_Work_Australia,"While those use cases remain under consideration, AI usage is limited at the Agency.",AI usage patterns
28_Safe_Work_Australia,"When discussing AI, we apply the Organisation for Economic Co-operation and Development (OECD) definition : An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",Definition of AI
15_Clean_Energy_Regulator,Different AI systems vary in their levels of autonomy and adaptiveness after deployment.,Definition of AI
28_Safe_Work_Australia,Safe Work Australia has very limited AI usage.,AI usage patterns
28_Safe_Work_Australia,Any changes to our AI use will result in an update to this Transparency Statement.,Update
28_Safe_Work_Australia,Safe Work Australia uses AI to perform research and analytics for insights to support our policy and legal functions.,AI usage domains
28_Safe_Work_Australia,"We have an AI enabled application that can analyse large volumes of legal documentation to perform first level research, and an AI enabled application that aggregates data inputs for consumption.",AI usage domains
28_Safe_Work_Australia,"Safe Work Australia employs AI in the following way: Analytics for insights: where AI identifies, produces or understands insights about a material via comprehensive data analysis, predictive modelling and/or reporting tools.",AI usage patterns
